Func_id,Func_name,MMB1,MMB2,MSB1,MSB2,Sum
COG0001,Glutamate-1-semialdehyde aminotransferase,0,10,29,33,72
COG0002,Acetylglutamate semialdehyde dehydrogenase,0,2,22,11,35
COG0003,Oxyanion-translocating ATPase,0,5,3,2,10
COG0004,Ammonia permease,5,4,20,10,39
COG0005,Purine nucleoside phosphorylase,0,3,16,11,30
COG0006,Xaa-Pro aminopeptidase,0,12,23,19,54
COG0007,Uroporphyrinogen-III methylase,1,6,13,6,26
COG0008,Glutamyl- and glutaminyl-tRNA synthetases,0,6,27,20,53
COG0009,Putative translation factor (SUA5),1,4,13,4,22
COG0010,"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",2,11,57,15,85
COG0011,Uncharacterized conserved protein,0,0,14,2,16
COG0012,"Predicted GTPase, probable translation factor",4,2,34,12,52
COG0013,Alanyl-tRNA synthetase,1,7,36,18,62
COG0014,Gamma-glutamyl phosphate reductase,0,2,16,5,23
COG0015,Adenylosuccinate lyase,2,9,39,16,66
COG0016,Phenylalanyl-tRNA synthetase alpha subunit,0,5,27,15,47
COG0017,Aspartyl/asparaginyl-tRNA synthetases,3,3,8,12,26
COG0018,Arginyl-tRNA synthetase,1,6,15,15,37
COG0019,Diaminopimelate decarboxylase,3,17,33,15,68
COG0020,Undecaprenyl pyrophosphate synthase,0,5,34,6,45
COG0021,Transketolase,2,7,12,17,38
COG0022,"Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit",2,10,47,27,86
COG0023,Translation initiation factor 1 (eIF-1/SUI1) and related proteins,0,1,0,2,3
COG0024,Methionine aminopeptidase,0,2,39,13,54
COG0025,NhaP-type Na+/H+ and K+/H+ antiporters,0,1,16,4,21
COG0026,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase),0,2,17,6,25
COG0027,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),0,2,0,0,2
COG0028,"Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]",7,7,151,52,217
COG0029,Aspartate oxidase,4,2,21,12,39
COG0030,Dimethyladenosine transferase (rRNA methylation),0,2,14,11,27
COG0031,Cysteine synthase,0,14,56,20,90
COG0033,Phosphoglucomutase,0,2,14,5,21
COG0034,Glutamine phosphoribosylpyrophosphate amidotransferase,6,4,22,16,48
COG0035,Uracil phosphoribosyltransferase,0,2,20,1,23
COG0036,Pentose-5-phosphate-3-epimerase,0,4,24,9,37
COG0037,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,3,2,15,8,28
COG0038,Chloride channel protein EriC,0,1,0,8,9
COG0039,Malate/lactate dehydrogenases,2,3,4,6,15
COG0040,ATP phosphoribosyltransferase,4,1,16,11,32
COG0041,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,0,3,23,11,37
COG0042,tRNA-dihydrouridine synthase,3,6,16,1,26
COG0043,3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,3,7,1,36,47
COG0044,Dihydroorotase and related cyclic amidohydrolases,1,15,33,21,70
COG0045,"Succinyl-CoA synthetase, beta subunit",0,2,19,12,33
COG0046,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",5,5,40,16,66
COG0047,"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",0,3,16,6,25
COG0048,Ribosomal protein S12,3,1,17,5,26
COG0049,Ribosomal protein S7,0,1,16,4,21
COG0050,GTPases - translation elongation factors,16,11,23,8,58
COG0051,Ribosomal protein S10,2,1,15,4,22
COG0052,Ribosomal protein S2,2,1,18,13,34
COG0053,Predicted Co/Zn/Cd cation transporters,1,3,22,22,48
